"row_id","restaurant_code","chain_id","primary_cuisine","latitude","longitude","geom","restaurant_id","suburb","postcode"
4348,dbfda1d4,"1fbb4869",Beverages,-37.81791638,144.97978118,POINT (144.97978118 -37.81791638),904,EAST MELBOURNE,"3002"
8439,a0e514a7,"0c3fe6a3",Indian,-37.81676559,144.97998353,POINT (144.97998353 -37.81676559),178,EAST MELBOURNE,"3002"
6749,b20fab5f,"8dc94713",Beverages,-37.85595384,145.00835092,POINT (145.00835092 -37.85595384),61,PRAHRAN,"3181"
19195,"6d9ea0d5","910ea3ca",Healthy,-37.83980484,144.96149093,POINT (144.96149093 -37.83980484),226,SOUTH MELBOURNE,"3205"
15845,aaa3f931,"",Beverages,-37.83948636,144.96196073,POINT (144.96196073 -37.83948636),956,SOUTH MELBOURNE,"3205"
13043,"24377b3a","",Western,-37.83795422,144.96435686,POINT (144.96435686 -37.83795422),419,SOUTH MELBOURNE,"3205"
6812,a5719b43,"",Beverages,-37.81056904,144.98738708,POINT (144.98738708 -37.81056904),822,EAST MELBOURNE,"3002"
10467,"492cc3f2",f0f80e97,Indian,-37.80955459,144.97779476,POINT (144.97779476 -37.80955459),607,EAST MELBOURNE,"3002"
1551,"767236f4","",Western,-37.80916584,144.97420894,POINT (144.97420894 -37.80916584),174,EAST MELBOURNE,"3002"
3697,"5a011bfd","2e50ca91",Indian,-37.83621940,144.93464299,POINT (144.93464299 -37.8362194),193,PORT MELBOURNE,"3207"
12801,cb0f6504,"",Desserts,-37.83530884,144.93623094,POINT (144.93623094 -37.83530884),600,PORT MELBOURNE,"3207"
2905,"1de090a0","",Indian,-37.81034113,144.96553028,POINT (144.96553028 -37.81034113),843,MELBOURNE,"3000"
5573,ed9dc7bf,"",Snacks,-37.82998542,144.98692796,POINT (144.98692796 -37.82998542),946,SOUTH YARRA,"3141"
10597,"89c43106","",Healthy,-37.82885788,144.98562780,POINT (144.9856278 -37.82885788),615,SOUTH YARRA,"3141"
6886,"63e62dc1","20cce73f",Indian,-37.84094284,144.98885793,POINT (144.98885793 -37.84094284),925,SOUTH YARRA,"3141"
3608,"4861c6d5",af6da95f,Japanese,-37.84083941,144.98807679,POINT (144.98807679 -37.84083941),411,SOUTH YARRA,"3141"
3285,e8e080ff,"",Desserts,-37.79068584,144.94156094,POINT (144.94156094 -37.79068584),780,NORTH MELBOURNE,"3051"
1779,a97b1830,"339d934f",Western,-37.79043228,144.93872985,POINT (144.93872985 -37.79043228),353,NORTH MELBOURNE,"3051"
15702,dd84ab70,e649ba9a,Japanese,-37.79007984,144.94057994,POINT (144.94057994 -37.79007984),838,NORTH MELBOURNE,"3051"
1150,"9d8f796f","",Indian,-37.83480984,144.93753994,POINT (144.93753994 -37.83480984),951,PORT MELBOURNE,"3207"
5534,cf68db41,"9c65d566",Beverages,-37.84919684,144.98568993,POINT (144.98568993 -37.84919684),971,PRAHRAN,"3181"
8867,e54d593e,"4bfa0362",Western,-37.79915083,144.92733394,POINT (144.92733394 -37.79915083),665,KENSINGTON,"3031"
17243,e3c2fe66,"46b646d4",Healthy,-37.80578984,144.94208494,POINT (144.94208494 -37.80578984),891,WEST MELBOURNE,"3003"
20040,b687d760,"1046f8f9",Beverages,-37.79678711,144.92027538,POINT (144.92027538 -37.79678711),538,KENSINGTON,"3031"
7368,"5e0c25e1","",Desserts,-37.80128545,144.95107143,POINT (144.95107143 -37.80128545),407,NORTH MELBOURNE,"3051"
19565,e0fe3128,"",Indian,-37.80127980,144.95122064,POINT (144.95122064 -37.8012798),92,NORTH MELBOURNE,"3051"
4041,bb07b9fd,"",Indian,-37.80079563,144.94658488,POINT (144.94658488 -37.80079563),867,NORTH MELBOURNE,"3051"
15974,"2c6c63c1","9263cd35",Indian,-37.80056716,144.94826044,POINT (144.94826044 -37.80056716),617,NORTH MELBOURNE,"3051"
1893,"3d1d27f8","",Indian,-37.84392084,144.98806093,POINT (144.98806093 -37.84392084),441,SOUTH YARRA,"3141"
20207,"6a94895d","",Snacks,-37.84349759,144.98684943,POINT (144.98684943 -37.84349759),255,SOUTH YARRA,"3141"
15069,d6ae05f5,"580f5265",Healthy,-37.83592189,144.97667707,POINT (144.97667707 -37.83592189),201,SOUTH YARRA,"3141"
2361,b61b3a0f,"",Southeast Asian,-37.84155784,144.99215493,POINT (144.99215493 -37.84155784),146,SOUTH YARRA,"3141"
21724,d3931915,"36fbb1a7",Beverages,-37.79675487,144.96841387,POINT (144.96841387 -37.79675487),539,CARLTON,"3053"
8345,"43173b19","",Indian,-37.80372403,144.94862766,POINT (144.94862766 -37.80372403),706,NORTH MELBOURNE,"3051"
953,e4f9a49e,"",Indian,-37.82010060,144.95131589,POINT (144.95131589 -37.8201006),593,DOCKLANDS,"3008"
21481,"0940fe16","",Western,-37.83784186,144.93542491,POINT (144.93542491 -37.83784186),159,PORT MELBOURNE,"3207"
497,"0ac6623a","7375776a",Western,-37.83758278,144.98909043,POINT (144.98909043 -37.83758278),396,SOUTH YARRA,"3141"
3978,ac0b562f,"4bfa0362",Western,-37.83586391,144.98925198,POINT (144.98925198 -37.83586391),546,SOUTH YARRA,"3141"
11683,"12221fc9","",Indian,-37.80162084,144.94744694,POINT (144.94744694 -37.80162084),272,NORTH MELBOURNE,"3051"
13164,e510bbcd,c06f2f01,Western,-37.80335884,144.94904494,POINT (144.94904494 -37.80335884),878,NORTH MELBOURNE,"3051"
4572,"64d675be",debcf125,Indian,-37.82634120,144.96299332,POINT (144.96299332 -37.8263412),148,SOUTHBANK,"3006"
1797,c52f8b08,"80924b01",Indian,-37.79429878,144.92436973,POINT (144.92436973 -37.79429878),837,KENSINGTON,"3031"
14186,"0c443728","",Indian,-37.79409483,144.92474995,POINT (144.92474995 -37.79409483),831,KENSINGTON,"3031"
15657,d4dec6ff,c116df5d,Beverages,-37.79391883,144.92443695,POINT (144.92443695 -37.79391883),626,KENSINGTON,"3031"
590,d64a76fb,"",Indian,-37.85173058,144.99641184,POINT (144.99641184 -37.85173058),757,PRAHRAN,"3181"
7958,"4fa9591b","155321b6",Beverages,-37.85098129,144.99678628,POINT (144.99678628 -37.85098129),524,PRAHRAN,"3181"
1428,e6bf0802,"",Western,-37.83619684,144.95301194,POINT (144.95301194 -37.83619684),363,SOUTH MELBOURNE,"3205"
14777,"62a4e370",a6dcdf34,Beverages,-37.83450539,144.95891769,POINT (144.95891769 -37.83450539),520,SOUTH MELBOURNE,"3205"
4888,"8039b41e",e3782312,Indian,-37.83406444,144.96199054,POINT (144.96199054 -37.83406444),545,SOUTH MELBOURNE,"3205"
18626,ae13957f,aac0d52c,Snacks,-37.83404229,144.96070454,POINT (144.96070454 -37.83404229),695,SOUTH MELBOURNE,"3205"
14808,"19f3c9c4",f6040d43,Snacks,-37.83326519,144.96319424,POINT (144.96319424 -37.83326519),483,SOUTH MELBOURNE,"3205"
11981,"8e30b4dd","",Beverages,-37.83289084,144.96604493,POINT (144.96604493 -37.83289084),901,SOUTH MELBOURNE,"3205"
11874,"8af52d22","",Snacks,-37.83284784,144.96617093,POINT (144.96617093 -37.83284784),596,SOUTH MELBOURNE,"3205"
22486,f1283932,"",Desserts,-37.83282284,144.96473993,POINT (144.96473993 -37.83282284),609,SOUTH MELBOURNE,"3205"
17957,"5b2ebdb5","",Snacks,-37.83280294,144.96480012,POINT (144.96480012 -37.83280294),332,SOUTH MELBOURNE,"3205"
14260,"46d6f2ab","087ef86e",Desserts,-37.85492584,145.00459392,POINT (145.00459392 -37.85492584),912,PRAHRAN,"3181"
13856,"4bbaafd4","",Beverages,-37.85465684,145.00463592,POINT (145.00463592 -37.85465684),574,PRAHRAN,"3181"
3785,"2db35812","08159b4b",Beverages,-37.83820483,144.92409394,POINT (144.92409394 -37.83820483),124,PORT MELBOURNE,"3207"
22997,"92ed61b0","7fc00fdd",Desserts,-37.83368190,144.94848345,POINT (144.94848345 -37.8336819),738,PORT MELBOURNE,"3207"
13869,"365af475",c5a60f2a,Indian,-37.79995284,144.97184394,POINT (144.97184394 -37.79995284),434,CARLTON,"3053"
16036,"3f17d73f","",Snacks,-37.79976164,144.97220149,POINT (144.97220149 -37.79976164),869,CARLTON,"3053"
1232,"7eba78d6","",Snacks,-37.79950984,144.97171994,POINT (144.97171994 -37.79950984),362,CARLTON,"3053"
21668,d0a44335,"",Indian,-37.79398184,144.93213494,POINT (144.93213494 -37.79398184),181,KENSINGTON,"3031"
3190,"557f51ee",cb81796b,Indian,-37.79363184,144.93221294,POINT (144.93221294 -37.79363184),325,KENSINGTON,"3031"
7749,"95192e64","",Japanese,-37.80050718,144.95954027,POINT (144.95954027 -37.80050718),91,CARLTON,"3053"
1698,"0f86fbb9","70ccdea9",Snacks,-37.79547914,144.91780946,POINT (144.91780946 -37.79547914),783,KENSINGTON,"3031"
2374,b756b7c9,"29100abf",Indian,-37.83844783,144.91896194,POINT (144.91896194 -37.83844783),621,PORT MELBOURNE,"3207"
19850,fb0fe438,"4f547c83",Western,-37.83815483,144.91924294,POINT (144.91924294 -37.83815483),282,PORT MELBOURNE,"3207"
2730,eebdd6f9,"",Indian,-37.81174418,144.94974010,POINT (144.9497401 -37.81174418),975,WEST MELBOURNE,"3003"
6001,"43e31ebb","1c70c3d9",Healthy,-37.83989661,144.94145649,POINT (144.94145649 -37.83989661),519,PORT MELBOURNE,"3207"
13178,"45472d51",f457434d,Desserts,-37.83802796,144.94252314,POINT (144.94252314 -37.83802796),587,PORT MELBOURNE,"3207"
13463,"2ebabaf4","",Chinese,-37.83790717,144.94328432,POINT (144.94328432 -37.83790717),528,PORT MELBOURNE,"3207"
2145,"017871ff","7375776a",Western,-37.83786484,144.94268194,POINT (144.94268194 -37.83786484),170,PORT MELBOURNE,"3207"
8326,a0dd3408,"10940d7c",Western,-37.83647665,144.94395016,POINT (144.94395016 -37.83647665),935,PORT MELBOURNE,"3207"
2496,"52cfaba3","",Snacks,-37.83616268,144.94424974,POINT (144.94424974 -37.83616268),514,PORT MELBOURNE,"3207"
17884,"4fb0e07f","4b3dd1e4",Indian,-37.83503010,144.94641232,POINT (144.94641232 -37.8350301),868,PORT MELBOURNE,"3207"
9792,f016686d,"",Desserts,-37.83476514,144.94517230,POINT (144.9451723 -37.83476514),856,PORT MELBOURNE,"3207"
248,eac582b5,b6620d07,Japanese,-37.83373169,144.94647858,POINT (144.94647858 -37.83373169),730,PORT MELBOURNE,"3207"
21714,"3ecdb7ea",ee86b3e0,Indian,-37.83368684,144.94652494,POINT (144.94652494 -37.83368684),963,PORT MELBOURNE,"3207"
12729,d74c5343,"",Snacks,-37.83293084,144.94784694,POINT (144.94784694 -37.83293084),818,PORT MELBOURNE,"3207"
10069,"55263096","5a3894f2",Western,-37.79457369,144.95672814,POINT (144.95672814 -37.79457369),292,PARKVILLE,"3052"
20348,a38d90cb,"",Snacks,-37.79393944,144.92312020,POINT (144.9231202 -37.79393944),525,KENSINGTON,"3031"
16042,"74adcb81",ac2114fc,Indian,-37.79353409,144.92354125,POINT (144.92354125 -37.79353409),741,KENSINGTON,"3031"
7492,"56fcd6b0","",Indian,-37.85181984,145.00317793,POINT (145.00317793 -37.85181984),560,PRAHRAN,"3181"
20391,b88ef22c,"2e50ca91",Indian,-37.84383184,144.94016378,POINT (144.94016378 -37.84383184),916,PORT MELBOURNE,"3207"
5557,a23249d8,c7853d60,Beverages,-37.83950719,144.92866363,POINT (144.92866363 -37.83950719),631,PORT MELBOURNE,"3207"
10108,"1759e96d","4b8cd246",Japanese,-37.83887539,144.92588954,POINT (144.92588954 -37.83887539),936,PORT MELBOURNE,"3207"
21872,"5dc6345a","2f1329c4",Beverages,-37.83724808,144.92786256,POINT (144.92786256 -37.83724808),154,PORT MELBOURNE,"3207"
9158,"594277af","",Chinese,-37.78883583,144.92428095,POINT (144.92428095 -37.78883583),74,KENSINGTON,"3031"
19085,b9fe7d6e,"",Western,-37.80221284,144.95004823,POINT (144.95004823 -37.80221284),509,NORTH MELBOURNE,"3051"
22032,"273d4212","5591a964",Japanese,-37.85074312,144.99754258,POINT (144.99754258 -37.85074312),165,PRAHRAN,"3181"
5012,ff799c98,"",Indian,-37.84856684,144.99788993,POINT (144.99788993 -37.84856684),726,PRAHRAN,"3181"
17232,ccaec89b,"",Snacks,-37.84810884,144.99795893,POINT (144.99795893 -37.84810884),184,PRAHRAN,"3181"
21623,"507a50bc","0c683265",Western,-37.79628684,144.95522694,POINT (144.95522694 -37.79628684),849,PARKVILLE,"3052"
16140,e7263ce5,"",Snacks,-37.82846226,144.93679983,POINT (144.93679983 -37.82846226),635,PORT MELBOURNE,"3207"
534,"75e97091","2e50ca91",Indian,-37.83585557,144.91537348,POINT (144.91537348 -37.83585557),314,PORT MELBOURNE,"3207"
16814,"17021476","",Indian,-37.78980484,144.94012094,POINT (144.94012094 -37.78980484),440,NORTH MELBOURNE,"3051"
2345,"4b9e67fe","",Indian,-37.78890064,144.93948857,POINT (144.93948857 -37.78890064),273,NORTH MELBOURNE,"3051"
22040,"606629d7",c9fe5868,Indian,-37.81598779,144.95632191,POINT (144.95632191 -37.81598779),845,MELBOURNE,"3000"
16501,"6e2bffff","4b01ebbd",Beverages,-37.81492574,144.96004072,POINT (144.96004072 -37.81492574),654,MELBOURNE,"3000"
4194,"837e590b","",Indian,-37.81306295,144.96800950,POINT (144.9680095 -37.81306295),300,MELBOURNE,"3000"
2797,bbc53ab3,"64733d7c",Beverages,-37.81205350,144.97136179,POINT (144.97136179 -37.8120535),293,MELBOURNE,"3000"
15479,"2e0982f6","",Desserts,-37.80199864,144.96109999,POINT (144.96109999 -37.80199864),266,CARLTON,"3053"
19533,"9533a807","339d934f",Western,-37.85476884,145.00277993,POINT (145.00277993 -37.85476884),230,PRAHRAN,"3181"
17266,"6880f613","",Beverages,-37.82675850,144.94578716,POINT (144.94578716 -37.8267585),629,SOUTH MELBOURNE,"3205"
22171,"18a065eb","",Indian,-37.81605691,144.98972154,POINT (144.98972154 -37.81605691),44,EAST MELBOURNE,"3002"
12170,baf5834a,"426e3614",Healthy,-37.84626198,144.99503861,POINT (144.99503861 -37.84626198),143,SOUTH YARRA,"3141"
10204,"78f0792b","",Western,-37.83859584,144.94639994,POINT (144.94639994 -37.83859584),910,PORT MELBOURNE,"3207"
20957,"8592224c","",Snacks,-37.83676584,144.94324594,POINT (144.94324594 -37.83676584),681,PORT MELBOURNE,"3207"
1288,a76776a2,"",Indian,-37.83620784,144.94228494,POINT (144.94228494 -37.83620784),129,PORT MELBOURNE,"3207"
11811,ae70fd4d,"5591a964",Japanese,-37.83375184,144.93963394,POINT (144.93963394 -37.83375184),439,PORT MELBOURNE,"3207"
5424,"9b33d0c8","",Snacks,-37.83326284,144.93976494,POINT (144.93976494 -37.83326284),399,PORT MELBOURNE,"3207"
18375,"4416884a",c06f2f01,Western,-37.83090360,144.93731810,POINT (144.9373181 -37.8309036),449,PORT MELBOURNE,"3207"
18932,e1dbc7bd,"",Indian,-37.83873684,144.96173593,POINT (144.96173593 -37.83873684),473,SOUTH MELBOURNE,"3205"
2801,"32dc02c5","965adf15",Indian,-37.83848858,144.96252851,POINT (144.96252851 -37.83848858),841,SOUTH MELBOURNE,"3205"
12008,"26f5a67c",f9aa47f6,Japanese,-37.78557009,144.93008958,POINT (144.93008958 -37.78557009),379,FLEMINGTON,"3031"
3424,"623d1ee9","",Snacks,-37.78141283,144.92868195,POINT (144.92868195 -37.78141283),542,FLEMINGTON,"3031"
1988,"607462b9","1bdb508c",Beverages,-37.78850135,144.93087397,POINT (144.93087397 -37.78850135),147,KENSINGTON,"3031"
8360,"1ee2dc15",b832c678,Indian,-37.83506884,144.97634793,POINT (144.97634793 -37.83506884),126,SOUTH YARRA,"3141"
20,"0adf63d9","",Indian,-37.79351284,144.94549194,POINT (144.94549194 -37.79351284),507,NORTH MELBOURNE,"3051"
21551,bb25e46f,"0c3fe6a3",Indian,-37.79334499,144.94394984,POINT (144.94394984 -37.79334499),289,NORTH MELBOURNE,"3051"
1753,"3b33ffe8","3d377a5c",Southeast Asian,-37.79847384,144.93445094,POINT (144.93445094 -37.79847384),202,KENSINGTON,"3031"
6735,"17f8bf98","",Indian,-37.79828524,144.93527489,POINT (144.93527489 -37.79828524),766,KENSINGTON,"3031"
12641,"86f0b8b9","15992794",Western,-37.79807484,144.93349014,POINT (144.93349014 -37.79807484),1,KENSINGTON,"3031"
16326,"5d4fcdf2","",Western,-37.82875481,144.94227760,POINT (144.9422776 -37.82875481),589,PORT MELBOURNE,"3207"
5644,"74b57ec5","0c3fe6a3",Indian,-37.83239042,144.94849320,POINT (144.9484932 -37.83239042),340,SOUTH MELBOURNE,"3205"
1430,"5462cbfe",ec3b749b,Indian,-37.83018627,144.95124225,POINT (144.95124225 -37.83018627),515,SOUTH MELBOURNE,"3205"
16530,"7e96dd50","",Indian,-37.82962651,144.95215533,POINT (144.95215533 -37.82962651),404,SOUTH MELBOURNE,"3205"
18132,b1e37f0b,"4860db34",Western,-37.84985784,144.98784193,POINT (144.98784193 -37.84985784),763,PRAHRAN,"3181"
6731,fa46c8bb,"",Indian,-37.77667127,144.93894226,POINT (144.93894226 -37.77667127),471,PARKVILLE,"3052"
6303,"45e60ede","",Indian,-37.79524001,144.92430815,POINT (144.92430815 -37.79524001),479,KENSINGTON,"3031"
2146,"7155be06","",Chinese,-37.79328559,144.91891814,POINT (144.91891814 -37.79328559),548,KENSINGTON,"3031"
1521,"70bb8ef5","",Indian,-37.79268183,144.91913195,POINT (144.91913195 -37.79268183),35,KENSINGTON,"3031"
9761,"9ee83ad5","",Healthy,-37.78828861,144.92762704,POINT (144.92762704 -37.78828861),737,KENSINGTON,"3031"
22497,"5c512aff","0f019c65",Snacks,-37.82316368,144.93911897,POINT (144.93911897 -37.82316368),297,DOCKLANDS,"3008"
3960,a2b7188e,"",Indian,-37.79572680,144.97297148,POINT (144.97297148 -37.7957268),633,CARLTON,"3053"
5168,"976486d6",c9da7ce7,Japanese,-37.79616984,144.94333994,POINT (144.94333994 -37.79616984),858,NORTH MELBOURNE,"3051"
16125,"7f96bbf4","",Indian,-37.79578867,144.94361256,POINT (144.94361256 -37.79578867),80,NORTH MELBOURNE,"3051"
16104,"100fcf81","9263cd35",Indian,-37.79554835,144.94129480,POINT (144.9412948 -37.79554835),960,NORTH MELBOURNE,"3051"
8800,cebfcf2c,"",Indian,-37.78189983,144.92614695,POINT (144.92614695 -37.78189983),4,FLEMINGTON,"3031"
4486,"81dff8d8","",Western,-37.78166983,144.92383695,POINT (144.92383695 -37.78166983),95,FLEMINGTON,"3031"
14659,e76e4b18,"71c90075",Beverages,-37.80447684,144.95564794,POINT (144.95564794 -37.80447684),563,NORTH MELBOURNE,"3051"
21503,"65b2b63e","",Indian,-37.80443184,144.95566094,POINT (144.95566094 -37.80443184),93,NORTH MELBOURNE,"3051"
1552,"1442e25f",f214cfef,Indian,-37.80663284,144.95527094,POINT (144.95527094 -37.80663284),727,WEST MELBOURNE,"3003"
14250,a177ea45,a5fe814f,Japanese,-37.80656873,144.95476744,POINT (144.95476744 -37.80656873),459,WEST MELBOURNE,"3003"
6004,"2870cc1c","10940d7c",Indian,-37.81419789,144.94170279,POINT (144.94170279 -37.81419789),788,DOCKLANDS,"3008"
5444,"018dba68","",Snacks,-37.81416262,144.94087962,POINT (144.94087962 -37.81416262),214,DOCKLANDS,"3008"
4482,"43deea44","6b307f21",Snacks,-37.80177246,144.96495711,POINT (144.96495711 -37.80177246),175,CARLTON,"3053"
4261,"54b1a67b","",Indian,-37.79798084,144.96616194,POINT (144.96616194 -37.79798084),873,CARLTON,"3053"
4071,cb4d9adc,a42d229f,Hong Kong Style,-37.79796324,144.96564324,POINT (144.96564324 -37.79796324),415,CARLTON,"3053"
6294,cfb6702f,"",Indian,-37.79774765,144.96620325,POINT (144.96620325 -37.79774765),392,CARLTON,"3053"
18585,"3523289e","",Indian,-37.79765784,144.96622794,POINT (144.96622794 -37.79765784),171,CARLTON,"3053"
8478,ba226d27,e9891a3f,Indian,-37.79584275,144.96600564,POINT (144.96600564 -37.79584275),949,CARLTON,"3053"
22439,"9d7697f1","",Western,-37.80091084,144.97304394,POINT (144.97304394 -37.80091084),874,CARLTON,"3053"
7364,"5fb6a265",c4a01c2d,Snacks,-37.84770442,144.99461365,POINT (144.99461365 -37.84770442),205,PRAHRAN,"3181"
4585,"00981de5",b988b8e5,Snacks,-37.83967733,144.98757427,POINT (144.98757427 -37.83967733),947,SOUTH YARRA,"3141"
21147,"1a5d9318","4b01ebbd",Beverages,-37.83705923,144.98849693,POINT (144.98849693 -37.83705923),452,SOUTH YARRA,"3141"
14711,"35ea1391","36fbb1a7",Beverages,-37.83617184,144.98866893,POINT (144.98866893 -37.83617184),271,SOUTH YARRA,"3141"
8356,c2d39df2,"",Indian,-37.83461884,144.98954093,POINT (144.98954093 -37.83461884),683,SOUTH YARRA,"3141"
4292,c66e249e,"",Western,-37.84647184,144.99867393,POINT (144.99867393 -37.84647184),375,SOUTH YARRA,"3141"
3333,c5b3a70c,"",Hong Kong Style,-37.83964384,144.96052993,POINT (144.96052993 -37.83964384),813,SOUTH MELBOURNE,"3205"
13983,"311eeb9f","4bfa0362",Western,-37.83880141,144.96024654,POINT (144.96024654 -37.83880141),876,SOUTH MELBOURNE,"3205"
15462,"04e0614d",fe306444,Desserts,-37.83464784,144.95825794,POINT (144.95825794 -37.83464784),961,SOUTH MELBOURNE,"3205"
13264,ba6307c1,"6a4399ba",Beverages,-37.83417862,144.95801219,POINT (144.95801219 -37.83417862),222,SOUTH MELBOURNE,"3205"
11591,"8163db96",b3280fcb,Beverages,-37.79290435,144.96806219,POINT (144.96806219 -37.79290435),651,CARLTON,"3053"
14367,"502d03ab",b6620d07,Japanese,-37.81669900,144.96564915,POINT (144.96564915 -37.816699),929,MELBOURNE,"3000"
6502,"890cb3a2","",Indian,-37.83664578,144.99646747,POINT (144.99646747 -37.83664578),278,SOUTH YARRA,"3141"
16772,"0f19d065","",Indian,-37.85067684,144.99371893,POINT (144.99371893 -37.85067684),744,PRAHRAN,"3181"
21227,ee80e4a5,e14b373f,Desserts,-37.85040008,144.99337686,POINT (144.99337686 -37.85040008),826,PRAHRAN,"3181"
3107,"756ac184",d3da4fa6,Indian,-37.84967276,144.99390360,POINT (144.9939036 -37.84967276),304,PRAHRAN,"3181"
