"gid","street_name","street_type","suburb","postcode","state","latitude","longitude","geom","delivery_id"
33283,TOMKINS,ROAD,PORT MELBOURNE,"3207",VIC,-37.82920847,144.94224626,POINT (144.94224626 -37.82920847),33
5196,CANNING,STREET,CARLTON,"3053",VIC,-37.79599784,144.97292894,POINT (144.97292894 -37.79599784),34
15231,GRATTAN,STREET,PRAHRAN,"3181",VIC,-37.84853084,144.99100393,POINT (144.99100393 -37.84853084),35
4835,BRYANT,STREET,FLEMINGTON,"3031",VIC,-37.78572184,144.93234295,POINT (144.93234295 -37.78572184),36
5642,CARDIGAN,STREET,CARLTON,"3053",VIC,-37.79403016,144.96630845,POINT (144.96630845 -37.79403016),37
3831,BERKELEY,STREET,MELBOURNE,"3000",VIC,-37.80493517,144.95964720,POINT (144.9596472 -37.80493517),38
20349,LYELL,STREET,SOUTH MELBOURNE,"3205",VIC,-37.83648184,144.94970794,POINT (144.94970794 -37.83648184),39
2215,BANK,STREET,SOUTH MELBOURNE,"3205",VIC,-37.83635884,144.95404094,POINT (144.95404094 -37.83635884),40
13217,FARRELL,STREET,PORT MELBOURNE,"3207",VIC,-37.83404384,144.93911794,POINT (144.93911794 -37.83404384),41
9168,CROMWELL,ROAD,SOUTH YARRA,"3141",VIC,-37.84516958,144.99967808,POINT (144.99967808 -37.84516958),42
11107,DRYBURGH,STREET,NORTH MELBOURNE,"3051",VIC,-37.79330558,144.94496399,POINT (144.94496399 -37.79330558),43
31766,STOKES,STREET,PORT MELBOURNE,"3207",VIC,-37.84155311,144.93592688,POINT (144.93592688 -37.84155311),44
6112,CHAMBERS,STREET,SOUTH YARRA,"3141",VIC,-37.84053484,144.99402793,POINT (144.99402793 -37.84053484),45
2219,BANK,STREET,SOUTH MELBOURNE,"3205",VIC,-37.83625484,144.95494594,POINT (144.95494594 -37.83625484),46
31672,STOCKMANS,WAY,KENSINGTON,"3031",VIC,-37.79321419,144.91779496,POINT (144.91779496 -37.79321419),47
26786,PORTVIEW,SQUARE,PORT MELBOURNE,"3207",VIC,-37.84143784,144.93691794,POINT (144.93691794 -37.84143784),48
25170,PALMERSTON,CRESCENT,SOUTH MELBOURNE,"3205",VIC,-37.83461884,144.96928193,POINT (144.96928193 -37.83461884),49
5531,CARDIGAN,STREET,CARLTON,"3053",VIC,-37.80212523,144.96491968,POINT (144.96491968 -37.80212523),50
270,ABERDEEN,ROAD,PRAHRAN,"3181",VIC,-37.85268184,145.00380993,POINT (145.00380993 -37.85268184),51
23845,NEWMAN,STREET,KENSINGTON,"3031",VIC,-37.79482944,144.92200370,POINT (144.9220037 -37.79482944),52
21120,MANCHESTER,LANE,PARKVILLE,"3052",VIC,-37.77779729,144.93904270,POINT (144.9390427 -37.77779729),53
35321,WILLIAMS,ROAD,PRAHRAN,"3181",VIC,-37.85517558,145.00226936,POINT (145.00226936 -37.85517558),54
2597,BARNETT,STREET,KENSINGTON,"3031",VIC,-37.79238484,144.93204294,POINT (144.93204294 -37.79238484),55
11181,DUDLEY,STREET,WEST MELBOURNE,"3003",VIC,-37.80864884,144.95356794,POINT (144.95356794 -37.80864884),56
3897,BIDEY,STREET,PRAHRAN,"3181",VIC,-37.85611584,145.00459592,POINT (145.00459592 -37.85611584),57
13365,FERRARS,PLACE,SOUTH MELBOURNE,"3205",VIC,-37.83877884,144.95866793,POINT (144.95866793 -37.83877884),58
31907,STORY,STREET,PARKVILLE,"3052",VIC,-37.79656184,144.95502594,POINT (144.95502594 -37.79656184),59
17248,ILLAWARRA,ROAD,FLEMINGTON,"3031",VIC,-37.78503482,144.92489698,POINT (144.92489698 -37.78503482),60
8785,COURTNEY,STREET,NORTH MELBOURNE,"3051",VIC,-37.80068422,144.95274139,POINT (144.95274139 -37.80068422),61
35917,WISEWOULD,STREET,FLEMINGTON,"3031",VIC,-37.78486783,144.91965995,POINT (144.91965995 -37.78486783),62
10316,DORCAS,STREET,SOUTHBANK,"3006",VIC,-37.83035314,144.96822324,POINT (144.96822324 -37.83035314),63
17672,JOHNSTON,STREET,PORT MELBOURNE,"3207",VIC,-37.84389569,144.94347544,POINT (144.94347544 -37.84389569),64
9581,DALGLEISH,STREET,FLEMINGTON,"3031",VIC,-37.78145883,144.92771495,POINT (144.92771495 -37.78145883),65
33321,TOORAK,ROAD,SOUTH YARRA,"3141",VIC,-37.84038117,145.00446899,POINT (145.00446899 -37.84038117),66
15350,GREVILLE,STREET,PRAHRAN,"3181",VIC,-37.84869884,144.98606693,POINT (144.98606693 -37.84869884),67
24366,NOTT,STREET,PORT MELBOURNE,"3207",VIC,-37.83916984,144.94027139,POINT (144.94027139 -37.83916984),68
4200,BOURKE,STREET,MELBOURNE,"3000",VIC,-37.81675198,144.95518519,POINT (144.95518519 -37.81675198),69
3485,BEACON,VISTA,PORT MELBOURNE,"3207",VIC,-37.83769898,144.92974418,POINT (144.92974418 -37.83769898),70
892,ALBERT,STREET,PORT MELBOURNE,"3207",VIC,-37.83476684,144.93664394,POINT (144.93664394 -37.83476684),71
8317,COLLINS,STREET,MELBOURNE,"3000",VIC,-37.81530484,144.96789894,POINT (144.96789894 -37.81530484),72
18916,LEILA,STREET,PRAHRAN,"3181",VIC,-37.84963265,144.99957776,POINT (144.99957776 -37.84963265),73
30653,SPENCER,STREET,MELBOURNE,"3000",VIC,-37.81968192,144.95473352,POINT (144.95473352 -37.81968192),74
13064,FARADAY,STREET,CARLTON,"3053",VIC,-37.79867704,144.96940322,POINT (144.96940322 -37.79867704),75
12216,EPSOM,ROAD,KENSINGTON,"3031",VIC,-37.79177783,144.92572295,POINT (144.92572295 -37.79177783),76
13327,FENNELL,STREET,PORT MELBOURNE,"3207",VIC,-37.82886985,144.93846091,POINT (144.93846091 -37.82886985),77
4377,BOUVERIE,STREET,CARLTON,"3053",VIC,-37.80102022,144.96262675,POINT (144.96262675 -37.80102022),78
5403,CAPEL,PLACE,NORTH MELBOURNE,"3051",VIC,-37.80412439,144.95445992,POINT (144.95445992 -37.80412439),79
17052,HOWEY,PLACE,MELBOURNE,"3000",VIC,-37.81484073,144.96535178,POINT (144.96535178 -37.81484073),80
15840,HARVEY,STREET,PRAHRAN,"3181",VIC,-37.85327657,145.00996352,POINT (145.00996352 -37.85327657),81
30251,SIMPSON,STREET,EAST MELBOURNE,"3002",VIC,-37.81390386,144.98801059,POINT (144.98801059 -37.81390386),82
3676,BENDALL,STREET,KENSINGTON,"3031",VIC,-37.78896483,144.92406995,POINT (144.92406995 -37.78896483),83
20033,LONSDALE,STREET,MELBOURNE,"3000",VIC,-37.81055513,144.96890746,POINT (144.96890746 -37.81055513),84
14633,GIPPS,STREET,EAST MELBOURNE,"3002",VIC,-37.81306484,144.98493393,POINT (144.98493393 -37.81306484),85
14496,GEORGE,STREET,EAST MELBOURNE,"3002",VIC,-37.81547701,144.98893601,POINT (144.98893601 -37.81547701),86
20830,MACKAY,STREET,PRAHRAN,"3181",VIC,-37.84993584,145.00050093,POINT (145.00050093 -37.84993584),87
18428,LALBERT,CRESCENT,PRAHRAN,"3181",VIC,-37.85652384,145.01032792,POINT (145.01032792 -37.85652384),88
10093,DODDS,STREET,SOUTHBANK,"3006",VIC,-37.82466996,144.96814000,POINT (144.96814 -37.82466996),89
8501,COMMERCIAL,ROAD,SOUTH YARRA,"3141",VIC,-37.84565384,144.98624293,POINT (144.98624293 -37.84565384),90
8658,COPELEN,STREET,SOUTH YARRA,"3141",VIC,-37.83562422,144.99890666,POINT (144.99890666 -37.83562422),91
34054,VICTORIA,STREET,CARLTON,"3053",VIC,-37.80697890,144.96794912,POINT (144.96794912 -37.8069789),92
16364,HIGH,STREET,PRAHRAN,"3181",VIC,-37.85276284,145.00137893,POINT (145.00137893 -37.85276284),93
16836,HOTHAM,STREET,EAST MELBOURNE,"3002",VIC,-37.81418984,144.98800493,POINT (144.98800493 -37.81418984),94
35940,WISEWOULD,STREET,FLEMINGTON,"3031",VIC,-37.78453383,144.91915895,POINT (144.91915895 -37.78453383),95
21887,MCCRACKEN,STREET,KENSINGTON,"3031",VIC,-37.79136683,144.92796095,POINT (144.92796095 -37.79136683),96
29358,ROSS,STREET,PORT MELBOURNE,"3207",VIC,-37.83253346,144.94267252,POINT (144.94267252 -37.83253346),97
31479,ST KILDA,ROAD,MELBOURNE,"3004",VIC,-37.85059184,144.98030993,POINT (144.98030993 -37.85059184),98
29216,ROSS,STREET,PORT MELBOURNE,"3207",VIC,-37.83575584,144.93671694,POINT (144.93671694 -37.83575584),99
13750,FLEMINGTON,ROAD,NORTH MELBOURNE,"3051",VIC,-37.79034412,144.94276242,POINT (144.94276242 -37.79034412),100
18357,KIPLING,STREET,NORTH MELBOURNE,"3051",VIC,-37.79495084,144.94265694,POINT (144.94265694 -37.79495084),101
8233,COLLINS,STREET,MELBOURNE,"3000",VIC,-37.81783010,144.96034559,POINT (144.96034559 -37.8178301),102
20749,MACAULAY,ROAD,NORTH MELBOURNE,"3051",VIC,-37.79548044,144.93791949,POINT (144.93791949 -37.79548044),103
24227,NORMANBY,ROAD,SOUTH MELBOURNE,"3205",VIC,-37.82953978,144.94694696,POINT (144.94694696 -37.82953978),104
18974,LEOPOLD,STREET,SOUTH YARRA,"3141",VIC,-37.83644984,144.98276393,POINT (144.98276393 -37.83644984),105
14050,FOOTSCRAY,ROAD,WEST MELBOURNE,"3003",VIC,-37.81093898,144.94062160,POINT (144.9406216 -37.81093898),106
29745,RUSSELL,STREET,MELBOURNE,"3000",VIC,-37.80957445,144.96691246,POINT (144.96691246 -37.80957445),107
24769,OSBORNE,STREET,SOUTH YARRA,"3141",VIC,-37.84545484,144.99040793,POINT (144.99040793 -37.84545484),108
31581,ST KILDA,ROAD,MELBOURNE,"3004",VIC,-37.83162121,144.97106119,POINT (144.97106119 -37.83162121),109
12944,FAIRBAIRN,DRIVE,KENSINGTON,"3031",VIC,-37.79596081,144.91912076,POINT (144.91912076 -37.79596081),110
30927,SPRING,STREET,PRAHRAN,"3181",VIC,-37.85076084,145.00500193,POINT (145.00500193 -37.85076084),111
354,ADDERLEY,STREET,WEST MELBOURNE,"3003",VIC,-37.81082254,144.94674062,POINT (144.94674062 -37.81082254),112
17100,HOWLETT,STREET,KENSINGTON,"3031",VIC,-37.79054073,144.92144334,POINT (144.92144334 -37.79054073),113
28926,ROCKLEA,DRIVE,PORT MELBOURNE,"3207",VIC,-37.83185984,144.92030200,POINT (144.920302 -37.83185984),114
25400,PARK,DRIVE,PARKVILLE,"3052",VIC,-37.79305584,144.95654194,POINT (144.95654194 -37.79305584),115
8866,COVENTRY,STREET,SOUTH MELBOURNE,"3205",VIC,-37.83444999,144.95032718,POINT (144.95032718 -37.83444999),116
359,ADDERLEY,STREET,WEST MELBOURNE,"3003",VIC,-37.81063445,144.94734808,POINT (144.94734808 -37.81063445),117
25319,PARK,DRIVE,PARKVILLE,"3052",VIC,-37.79620584,144.95371894,POINT (144.95371894 -37.79620584),118
23214,MUNSTER,TERRACE,NORTH MELBOURNE,"3051",VIC,-37.80150885,144.94304433,POINT (144.94304433 -37.80150885),119
9704,DARLING,STREET,SOUTH YARRA,"3141",VIC,-37.83590584,144.99210793,POINT (144.99210793 -37.83590584),120
18286,KING,STREET,WEST MELBOURNE,"3003",VIC,-37.80619584,144.94930794,POINT (144.94930794 -37.80619584),121
24803,OSBORNE,STREET,SOUTH YARRA,"3141",VIC,-37.84370067,144.99045367,POINT (144.99045367 -37.84370067),122
19217,LIARDET,STREET,PORT MELBOURNE,"3207",VIC,-37.83912907,144.94282894,POINT (144.94282894 -37.83912907),123
15424,GREY,STREET,EAST MELBOURNE,"3002",VIC,-37.81203894,144.98550798,POINT (144.98550798 -37.81203894),124
25349,PARK,DRIVE,PARKVILLE,"3052",VIC,-37.79508784,144.95472594,POINT (144.95472594 -37.79508784),125
11535,EDINBURGH,STREET,FLEMINGTON,"3031",VIC,-37.78593747,144.92652386,POINT (144.92652386 -37.78593747),126
21778,MCCONNELL,STREET,KENSINGTON,"3031",VIC,-37.79147283,144.92885495,POINT (144.92885495 -37.79147283),127
5877,CATHERINE,STREET,SOUTHBANK,"3006",VIC,-37.82697997,144.95991436,POINT (144.95991436 -37.82697997),128
29531,ROUSE,STREET,PORT MELBOURNE,"3207",VIC,-37.84177809,144.93828163,POINT (144.93828163 -37.84177809),129
35212,WILLIAM,STREET,MELBOURNE,"3000",VIC,-37.81454362,144.95742502,POINT (144.95742502 -37.81454362),130
26542,PIN OAK,CRESCENT,FLEMINGTON,"3031",VIC,-37.78280783,144.92808595,POINT (144.92808595 -37.78280783),131
36217,WYNNSTAY,ROAD,PRAHRAN,"3181",VIC,-37.85268084,145.01104492,POINT (145.01104492 -37.85268084),132
34027,VICTORIA,PARADE,EAST MELBOURNE,"3002",VIC,-37.80911982,144.97871532,POINT (144.97871532 -37.80911982),133
27690,QUEEN,STREET,MELBOURNE,"3000",VIC,-37.81537901,144.96117223,POINT (144.96117223 -37.81537901),134
9447,CURRAN,STREET,NORTH MELBOURNE,"3051",VIC,-37.79252684,144.94372494,POINT (144.94372494 -37.79252684),135
14369,GATEHOUSE,STREET,PARKVILLE,"3052",VIC,-37.79541799,144.95293448,POINT (144.95293448 -37.79541799),136
11213,DUNCAN,STREET,FLEMINGTON,"3031",VIC,-37.78524226,144.91988175,POINT (144.91988175 -37.78524226),137
31833,STOKES,STREET,PORT MELBOURNE,"3207",VIC,-37.83926974,144.93777124,POINT (144.93777124 -37.83926974),138
20677,MACAULAY,ROAD,KENSINGTON,"3031",VIC,-37.79449118,144.92930479,POINT (144.92930479 -37.79449118),139
10632,DOW,STREET,PORT MELBOURNE,"3207",VIC,-37.84146184,144.94172994,POINT (144.94172994 -37.84146184),140
754,ALBERT,STREET,EAST MELBOURNE,"3002",VIC,-37.81029208,144.98743126,POINT (144.98743126 -37.81029208),141
33656,TRIBE,STREET,SOUTH MELBOURNE,"3205",VIC,-37.83792667,144.94880525,POINT (144.94880525 -37.83792667),142
24630,OCONNELL,STREET,NORTH MELBOURNE,"3051",VIC,-37.80334628,144.95696339,POINT (144.95696339 -37.80334628),143
27987,QUEENSBERRY,STREET,NORTH MELBOURNE,"3051",VIC,-37.80251139,144.94678722,POINT (144.94678722 -37.80251139),144
32988,THE RIDGEWAY,,KENSINGTON,"3031",VIC,-37.79495349,144.92485150,POINT (144.9248515 -37.79495349),145
13072,FARADAY,STREET,CARLTON,"3053",VIC,-37.79858911,144.96971946,POINT (144.96971946 -37.79858911),146
541,AIRLIE,STREET,SOUTH YARRA,"3141",VIC,-37.83190158,144.98712658,POINT (144.98712658 -37.83190158),147
795,ALBERT,STREET,EAST MELBOURNE,"3002",VIC,-37.80949477,144.97724834,POINT (144.97724834 -37.80949477),148
23273,MURPHY,STREET,SOUTH YARRA,"3141",VIC,-37.83703664,144.99072545,POINT (144.99072545 -37.83703664),149
24574,OBAN,STREET,SOUTH YARRA,"3141",VIC,-37.84427184,145.00235893,POINT (145.00235893 -37.84427184),150
6396,CHAPEL,STREET,SOUTH YARRA,"3141",VIC,-37.84000684,144.99530293,POINT (144.99530293 -37.84000684),151
13397,FERRARS,STREET,SOUTH MELBOURNE,"3205",VIC,-37.83973284,144.95833993,POINT (144.95833993 -37.83973284),152
33769,TURVILLE,PLACE,PORT MELBOURNE,"3207",VIC,-37.83821892,144.93845580,POINT (144.9384558 -37.83821892),153
29642,ROYAL,PARADE,PARKVILLE,"3052",VIC,-37.78657338,144.95873493,POINT (144.95873493 -37.78657338),154
11541,EDINBURGH,STREET,FLEMINGTON,"3031",VIC,-37.78587883,144.92603895,POINT (144.92603895 -37.78587883),155
33469,TOORAK,ROAD,SOUTH YARRA,"3141",VIC,-37.83867284,144.99050993,POINT (144.99050993 -37.83867284),156
25994,PEEL,STREET,MELBOURNE,"3000",VIC,-37.80651829,144.95696408,POINT (144.95696408 -37.80651829),157
9771,DAVIES,STREET,PORT MELBOURNE,"3207",VIC,-37.83603584,144.94659394,POINT (144.94659394 -37.83603584),158
32535,SWANSTON,STREET,MELBOURNE,"3000",VIC,-37.80720477,144.96234171,POINT (144.96234171 -37.80720477),159
24493,NOTTINGHAM,STREET,KENSINGTON,"3031",VIC,-37.78891684,144.93307494,POINT (144.93307494 -37.78891684),160
5456,CAPEL,STREET,WEST MELBOURNE,"3003",VIC,-37.80669243,144.95474534,POINT (144.95474534 -37.80669243),161
31532,ST KILDA,ROAD,MELBOURNE,"3004",VIC,-37.84073603,144.97814213,POINT (144.97814213 -37.84073603),162
35303,WILLIAMS,ROAD,PRAHRAN,"3181",VIC,-37.85841886,145.00168166,POINT (145.00168166 -37.85841886),163
6878,CHETWYND,STREET,WEST MELBOURNE,"3003",VIC,-37.80647284,144.95229894,POINT (144.95229894 -37.80647284),164
19419,LITTLE BOURKE,STREET,MELBOURNE,"3000",VIC,-37.81365792,144.96090864,POINT (144.96090864 -37.81365792),165
24291,NORWOOD,PLACE,FLEMINGTON,"3031",VIC,-37.78613250,144.92954730,POINT (144.9295473 -37.7861325),166
2191,BANGS,STREET,PRAHRAN,"3181",VIC,-37.85092810,144.99653940,POINT (144.9965394 -37.8509281),167
2470,BARKLY,STREET,CARLTON,"3053",VIC,-37.80013884,144.97061194,POINT (144.97061194 -37.80013884),168
3904,BIGNELL,STREET,FLEMINGTON,"3031",VIC,-37.78338084,144.93348595,POINT (144.93348595 -37.78338084),169
25611,PARK,STREET,SOUTH MELBOURNE,"3205",VIC,-37.83561717,144.96098490,POINT (144.9609849 -37.83561717),170
14686,GLADSTONE,STREET,SOUTHBANK,"3006",VIC,-37.82883529,144.95147722,POINT (144.95147722 -37.82883529),171
16917,HOWARD,STREET,NORTH MELBOURNE,"3051",VIC,-37.80297746,144.95440669,POINT (144.95440669 -37.80297746),172
31220,STATION,STREET,PORT MELBOURNE,"3207",VIC,-37.83756284,144.93783794,POINT (144.93783794 -37.83756284),173
35052,WESTBOURNE,STREET,PRAHRAN,"3181",VIC,-37.84962484,145.00498693,POINT (145.00498693 -37.84962484),174
34049,VICTORIA,PLACE,CARLTON,"3053",VIC,-37.79316284,144.97287794,POINT (144.97287794 -37.79316284),175
6813,CHETWYND,STREET,NORTH MELBOURNE,"3051",VIC,-37.80489184,144.95258194,POINT (144.95258194 -37.80489184),176
14811,GOLDSBROUGH,WALK,KENSINGTON,"3031",VIC,-37.79719283,144.91931295,POINT (144.91931295 -37.79719283),177
8146,COLLETT,STREET,KENSINGTON,"3031",VIC,-37.78952584,144.93341694,POINT (144.93341694 -37.78952584),178
11697,ELGIN,STREET,CARLTON,"3053",VIC,-37.79780384,144.97158494,POINT (144.97158494 -37.79780384),179
20022,LONSDALE,STREET,MELBOURNE,"3000",VIC,-37.81091477,144.96767342,POINT (144.96767342 -37.81091477),180
2309,BANK,STREET,SOUTH MELBOURNE,"3205",VIC,-37.83346084,144.96252893,POINT (144.96252893 -37.83346084),181
17090,HOWITT,STREET,SOUTH YARRA,"3141",VIC,-37.84658384,145.00052293,POINT (145.00052293 -37.84658384),182
6224,CHAPEL,STREET,PRAHRAN,"3181",VIC,-37.84725939,144.99425483,POINT (144.99425483 -37.84725939),183
20178,LORNE,ROAD,PRAHRAN,"3181",VIC,-37.85066184,145.00608393,POINT (145.00608393 -37.85066184),184
29621,ROYAL,PARADE,PARKVILLE,"3052",VIC,-37.79340384,144.95789594,POINT (144.95789594 -37.79340384),185
7422,CLARENDON,STREET,SOUTH MELBOURNE,"3205",VIC,-37.83660593,144.96252283,POINT (144.96252283 -37.83660593),186
22901,MORRAH,STREET,PARKVILLE,"3052",VIC,-37.79538509,144.95622879,POINT (144.95622879 -37.79538509),187
31986,STUBBS,STREET,KENSINGTON,"3031",VIC,-37.79102322,144.93544779,POINT (144.93544779 -37.79102322),188
6008,CECIL,STREET,SOUTH MELBOURNE,"3205",VIC,-37.83314884,144.95757294,POINT (144.95757294 -37.83314884),189
28106,RACECOURSE,ROAD,FLEMINGTON,"3031",VIC,-37.78744883,144.92499295,POINT (144.92499295 -37.78744883),190
30569,SOUTH WHARF,DRIVE,DOCKLANDS,"3008",VIC,-37.82264078,144.93901085,POINT (144.93901085 -37.82264078),191
3101,BAY,STREET,PORT MELBOURNE,"3207",VIC,-37.83273784,144.94739194,POINT (144.94739194 -37.83273784),192
4696,BRIXTON,STREET,FLEMINGTON,"3031",VIC,-37.78165383,144.92904995,POINT (144.92904995 -37.78165383),193
30821,SPENCER,STREET,WEST MELBOURNE,"3003",VIC,-37.80577029,144.94452754,POINT (144.94452754 -37.80577029),194
28484,RANKINS,ROAD,KENSINGTON,"3031",VIC,-37.79250992,144.93150499,POINT (144.93150499 -37.79250992),195
29226,ROSS,STREET,PORT MELBOURNE,"3207",VIC,-37.83556406,144.93703127,POINT (144.93703127 -37.83556406),196
11016,DRYBURGH,STREET,NORTH MELBOURNE,"3051",VIC,-37.80125616,144.94353971,POINT (144.94353971 -37.80125616),197
13908,FLINDERS,LANE,MELBOURNE,"3000",VIC,-37.81566810,144.97014184,POINT (144.97014184 -37.8156681),198
24499,NOTTINGHAM,STREET,PRAHRAN,"3181",VIC,-37.84760484,144.98849493,POINT (144.98849493 -37.84760484),199
30537,SOUTHWARD,AVENUE,PORT MELBOURNE,"3207",VIC,-37.83361084,144.93494894,POINT (144.93494894 -37.83361084),200
10863,DRUMMOND,STREET,CARLTON,"3053",VIC,-37.80156384,144.96802894,POINT (144.96802894 -37.80156384),201
32349,SWANSTON,STREET,CARLTON,"3053",VIC,-37.80380479,144.96366331,POINT (144.96366331 -37.80380479),202
34642,WATERFRONT,WAY,DOCKLANDS,"3008",VIC,-37.81158828,144.93876135,POINT (144.93876135 -37.81158828),203
28083,RACECOURSE,ROAD,FLEMINGTON,"3031",VIC,-37.78803884,144.93034795,POINT (144.93034795 -37.78803884),204
35862,WIRRAWAY,DRIVE,PORT MELBOURNE,"3207",VIC,-37.82507719,144.90994758,POINT (144.90994758 -37.82507719),205
6018,CECIL,STREET,SOUTH MELBOURNE,"3205",VIC,-37.83283470,144.95743876,POINT (144.95743876 -37.8328347),206
6986,CHOMLEY,STREET,PRAHRAN,"3181",VIC,-37.85533384,145.00577692,POINT (145.00577692 -37.85533384),207
23975,NEWTON,STREET,KENSINGTON,"3031",VIC,-37.79588428,144.92323298,POINT (144.92323298 -37.79588428),208
4183,BOURKE,STREET,DOCKLANDS,"3008",VIC,-37.81882075,144.94803416,POINT (144.94803416 -37.81882075),209
20209,LORNE,ROAD,PRAHRAN,"3181",VIC,-37.84939384,145.00626593,POINT (145.00626593 -37.84939384),210
10382,DORCAS,STREET,SOUTH MELBOURNE,"3205",VIC,-37.83486784,144.95482094,POINT (144.95482094 -37.83486784),211
12594,ESPLANADE EAST,,PORT MELBOURNE,"3207",VIC,-37.83649290,144.94772007,POINT (144.94772007 -37.8364929),212
11529,EDINA,CLOSE,PORT MELBOURNE,"3207",VIC,-37.83765343,144.93192172,POINT (144.93192172 -37.83765343),213
30168,SHIELS,LANE,CARLTON,"3053",VIC,-37.80006084,144.97198594,POINT (144.97198594 -37.80006084),214
4796,BRUCE,STREET,KENSINGTON,"3031",VIC,-37.79814184,144.93398394,POINT (144.93398394 -37.79814184),215
9677,DARLING,STREET,SOUTH YARRA,"3141",VIC,-37.83762476,144.99139128,POINT (144.99139128 -37.83762476),216
34844,WELLINGTON,STREET,FLEMINGTON,"3031",VIC,-37.78640884,144.93195995,POINT (144.93195995 -37.78640884),217
1261,ALFRED,STREET,PRAHRAN,"3181",VIC,-37.84640184,144.98611793,POINT (144.98611793 -37.84640184),218
